Biorep,Sample,Internode Number,Distance.from.AM,AOI,Measurement Date,Time,Fo,Fm,Ft,F'm,Fo',Fv.Fm,PSII,phiNPQ,"Φf,D",NPQ,1-qP
A,1567A1,0,1,1,17.04.18,17:30:31,0.0608,0.151,0.0588,0.0843,0.046110046,0.597350993,0.302491103,0.308104923,0.389403974,0.791221827,0.332285139
A,1567A1,1,5,2,17.04.18,17:30:31,0.0412,0.0912,0.0387,0.05,0.03002378,0.548245614,0.226,0.349657895,0.424342105,0.824,0.434327424
A,1567A1,2,20,3,17.04.18,17:30:31,0.0319,0.0637,0.0304,0.0387,0.024102676,0.499215071,0.214470284,0.308292667,0.477237049,0.645994832,0.43140262
A,1567A1,3,30,4,17.04.18,17:30:31,0.0235,0.0441,0.026,0.0333,0.020037075,0.467120181,0.219219219,0.19121162,0.589569161,0.324324324,0.449593519
A,1567A1,4,40,5,17.04.18,17:30:31,0.0191,0.0353,0.0191,0.0245,0.01542169,0.458923513,0.220408163,0.238515349,0.541076487,0.440816327,0.405175621
A,1567A2,0,1,1,17.04.18,17:21:51,0.052,0.1275,0.0559,0.0755,0.0405965,0.592156863,0.259602649,0.301965978,0.438431373,0.688741722,0.438451724
A,1567A2,1,3,2,17.04.18,17:21:51,0.0529,0.124,0.0471,0.0613,0.036829307,0.573387097,0.231647635,0.388513656,0.37983871,1.022838499,0.41971402
A,1567A2,2,9,3,17.04.18,17:21:51,0.0338,0.0716,0.0314,0.0392,0.024313436,0.527932961,0.198979592,0.362472922,0.438547486,0.826530612,0.476037597
A,1567A2,3,23,4,17.04.18,17:21:51,0.0358,0.0765,0.0368,0.0495,0.028520023,0.532026144,0.256565657,0.262388592,0.481045752,0.545454545,0.394660927
A,1567A2,4,38,5,17.04.18,17:21:51,0.0397,0.0799,0.0353,0.0451,0.028697516,0.503128911,0.2172949,0.340902847,0.441802253,0.771618625,0.402529513
A,1567A2,5,54,6,17.04.18,17:21:51,0.0255,0.0451,0.0235,0.0279,0.018908942,0.4345898,0.157706093,0.321229605,0.521064302,0.616487455,0.510624877
A,1567A2,6,69,7,17.04.18,17:21:51,0.0176,0.0314,0.0176,0.0211,0.013818947,0.439490446,0.165876777,0.273613669,0.560509554,0.488151659,0.519300288
A,1567A3,0,1,2,17.04.18,17:43:54,0.0505,0.1255,0.052,0.076,0.040013208,0.597609562,0.315789474,0.269867897,0.414342629,0.651315789,0.333088643
A,1567A3,1,3.5,3,17.04.18,17:43:54,0.0529,0.127,0.0471,0.0618,0.036750106,0.583464567,0.237864078,0.391269781,0.370866142,1.055016181,0.413171164
A,1567A3,2,12,4,17.04.18,17:43:54,0.0265,0.0525,0.025,0.0309,0.019588374,0.495238095,0.190938511,0.332871012,0.476190476,0.699029126,0.478412741
A,1567A3,3,29,5,17.04.18,17:43:54,0.0279,0.0588,0.0294,0.0392,0.022550103,0.525510204,0.25,0.25,0.5,0.5,0.411407767
A,1567A3,4,49,6,17.04.18,17:43:54,0.024,0.0505,0.0235,0.0314,0.018617876,0.524752475,0.251592357,0.283061109,0.465346535,0.608280255,0.381949361
A,1567A3,5,67,7,17.04.18,17:43:54,0.0299,0.0598,0.0284,0.0368,0.022780952,0.5,0.22826087,0.296822742,0.474916388,0.625,0.400815217
A,1567A3,6,80,8,17.04.18,17:43:54,0.025,0.0559,0.025,0.0348,0.01966702,0.552772809,0.281609195,0.271163613,0.447227191,0.606321839,0.352407794
A,1567A4,0,2,1,17.04.18,18:00:49,0.0681,0.1735,0.0598,0.0809,0.046989084,0.607492795,0.260815822,0.39451559,0.344668588,1.144622991,0.377781478
A,1567A4,1,10,2,17.04.18,18:00:49,0.0471,0.1064,0.0402,0.0495,0.03121591,0.557330827,0.187878788,0.434301663,0.377819549,1.149494949,0.491361074
A,1567A4,2,23,3,17.04.18,18:00:49,0.027,0.0583,0.0245,0.0309,0.019139914,0.536878216,0.207119741,0.372640122,0.420240137,0.886731392,0.455786279
A,1567A4,3,36,4,17.04.18,18:00:49,0.0255,0.0549,0.0304,0.0422,0.02237265,0.535519126,0.279620853,0.166645085,0.553734062,0.300947867,0.404862484
A,1567A4,4,49,5,17.04.18,18:00:49,0.0324,0.075,0.0412,0.0544,0.027844902,0.568,0.242647059,0.208019608,0.549333333,0.378676471,0.502920312
G,1567G1,0,1,1,18.05.01,10:55:52,0.0569,0.1647,0.0623,0.1005,0.046612885,0.654523376,0.380099502,0.241636988,0.378263509,0.63880597,0.291110691
G,1567G1,1,3,2,18.05.01,10:55:52,0.0554,0.1632,0.052,0.0779,0.040387623,0.660539216,0.332477535,0.348895014,0.318627451,1.094993582,0.309561222
G,1567G1,2,8,3,18.05.01,10:55:52,0.0515,0.1407,0.051,0.0721,0.038197417,0.633972992,0.292649098,0.344877554,0.362473348,0.951456311,0.377628543
G,1567G1,3,17,4,18.05.01,10:55:52,0.0299,0.0711,0.0328,0.0471,0.024623542,0.579465541,0.303609342,0.235068577,0.461322082,0.50955414,0.363778748
G,1567G1,4,30,5,18.05.01,10:55:52,0.023,0.0505,0.026,0.0358,0.019376375,0.544554455,0.273743017,0.211405498,0.514851485,0.410614525,0.403298615
G,1567G1,5,42,6,18.05.01,10:55:52,0.025,0.0475,0.0265,0.0343,0.020789205,0.473684211,0.227405248,0.214700015,0.557894737,0.38483965,0.422683859
G,1567G2,0,1,1,18.05.01,11:25:57,0.0662,0.1848,0.0804,0.1289,0.057298589,0.641774892,0.376260667,0.188674398,0.435064935,0.433669511,0.322639045
G,1567G2,1,2,2,18.05.01,11:25:57,0.0613,0.1789,0.0627,0.0931,0.046588255,0.657350475,0.326530612,0.322994262,0.350475126,0.921589689,0.346401644
G,1567G2,2,8,3,18.05.01,11:25:57,0.0588,0.1583,0.0578,0.0843,0.044341809,0.62855338,0.314353499,0.320517,0.365129501,0.877817319,0.336806816
G,1567G2,3,20,4,18.05.01,11:25:57,0.0422,0.0892,0.0451,0.0608,0.034562265,0.52690583,0.258223684,0.236170935,0.505605381,0.467105263,0.401625168
G,1567G2,4,34,5,18.05.01,11:25:57,0.0358,0.0784,0.0387,0.0529,0.029341474,0.543367347,0.268431002,0.237946549,0.493622449,0.482041588,0.397245817
G,1567G2,5,44,6,18.05.01,11:25:57,0.0422,0.0848,0.0451,0.0593,0.034761285,0.502358491,0.239460371,0.228700006,0.531839623,0.430016863,0.421322588
G,1567G3,0,1,1,18.05.01,13:36:11,0.05,0.1328,0.0564,0.0946,0.043401452,0.623493976,0.403805497,0.171495708,0.424698795,0.403805497,0.253885097
G,1567G3,1,7,2,18.05.01,13:36:11,0.023,0.0574,0.0245,0.0373,0.018915638,0.599303136,0.343163539,0.230007193,0.426829268,0.538873995,0.303756076
G,1567G3,2,19,3,18.05.01,13:36:11,0.0093,0.0176,0.0088,0.0103,0.006766079,0.471590909,0.145631068,0.354368932,0.5,0.708737864,0.575542248
G,1567G3,3,34,4,18.05.01,13:36:11,0.0137,0.0289,0.0152,0.0201,0.011345346,0.525951557,0.243781095,0.230267348,0.525951557,0.437810945,0.440297693